time;approach;max_mean_reward;mean_reward;epoch;epochs;version;n_envs;total_timesteps;filename
1698785086.0346048;PPO;0.4132277965599674;[0.4132278];1;1000;env;1;10000.0;./weights/PPO-env-1.sav
1699137963.3199775;PPO;0.4118295441003747;[0.41182954];2;1000;env;1;10000.0;./weights/PPO-env-1.sav
1699494053.0903387;PPO;0.4135276975860018;[0.4135277];3;1000;env;1;10000.0;./weights/PPO-env-1.sav
1699855223.2106164;PPO;0.4146452928054728;[0.41464529];4;1000;env;1;10000.0;./weights/PPO-env-1.sav
1700219988.2583952;PPO;0.4143875177399465;[0.41438752];5;1000;env;1;10000.0;./weights/PPO-env-1.sav
1700619572.8784473;PPO;0.4150950668110774;[0.41509507];6;1000;env;1;10000.0;./weights/PPO-env-1.sav
1701042792.198363;PPO;0.4152601389093743;[0.41526014];7;1000;env;1;10000.0;./weights/PPO-env-1.sav
1701464821.1139927;PPO;0.4160398596147853;[0.41603986];8;1000;env;1;10000.0;./weights/PPO-env-1.sav
1701886782.7957034;PPO;0.416444251471484;[0.41644425];9;1000;env;1;10000.0;./weights/PPO-env-1.sav
1702302584.0928824;PPO;0.4169651795163271;[0.41696518];10;1000;env;1;10000.0;./weights/PPO-env-1.sav
1702980372.0589473;PPO;0.29878950518384995;[0.29878951];1;1000;env;1;10000.0;./weights/PPO-env-1.sav
